Origen;Destino;Distancia;Barrio Origen;Barrio Destino
14;14;1;Belgrano;Belgrano
14;12;10;Belgrano;Belgrano
14;16;100;Belgrano;Barrio Norte
14;18;120;Belgrano;La Boca
14;13;60;Belgrano;Centro
14;7;60;Belgrano;Centro
14;5;120;Belgrano;Caballito
14;1;120;Belgrano;Caballito
14;17;90;Belgrano;Recoleta
14;9;90;Belgrano;Recoleta
14;8;90;Belgrano;Recoleta
14;10;90;Belgrano;Recoleta
14;3;90;Belgrano;Recoleta
14;15;90;Belgrano;Recoleta
14;6;90;Belgrano;Recoleta
14;4;90;Belgrano;Recoleta
14;2;90;Belgrano;Recoleta
14;11;90;Belgrano;Recoleta
12;14;10;Belgrano;Belgrano
12;12;1;Belgrano;Belgrano
12;16;100;Belgrano;Barrio Norte
12;18;120;Belgrano;La Boca
12;13;60;Belgrano;Centro
12;7;60;Belgrano;Centro
12;5;120;Belgrano;Caballito
12;1;120;Belgrano;Caballito
12;17;90;Belgrano;Recoleta
12;9;90;Belgrano;Recoleta
12;8;90;Belgrano;Recoleta
12;10;90;Belgrano;Recoleta
12;3;90;Belgrano;Recoleta
12;15;90;Belgrano;Recoleta
12;6;90;Belgrano;Recoleta
12;4;90;Belgrano;Recoleta
12;2;90;Belgrano;Recoleta
12;11;90;Belgrano;Recoleta
16;14;100;Barrio Norte;Belgrano
16;12;100;Barrio Norte;Belgrano
16;16;1;Barrio Norte;Barrio Norte
16;18;90;Barrio Norte;La Boca
16;13;45;Barrio Norte;Centro
16;7;45;Barrio Norte;Centro
16;5;120;Barrio Norte;Caballito
16;1;120;Barrio Norte;Caballito
16;17;30;Barrio Norte;Recoleta
16;9;30;Barrio Norte;Recoleta
16;8;30;Barrio Norte;Recoleta
16;10;30;Barrio Norte;Recoleta
16;3;30;Barrio Norte;Recoleta
16;15;30;Barrio Norte;Recoleta
16;6;30;Barrio Norte;Recoleta
16;4;30;Barrio Norte;Recoleta
16;2;30;Barrio Norte;Recoleta
16;11;30;Barrio Norte;Recoleta
18;14;120;La Boca;Belgrano
18;12;120;La Boca;Belgrano
18;16;90;La Boca;Barrio Norte
18;18;1;La Boca;La Boca
18;13;60;La Boca;Centro
18;7;60;La Boca;Centro
18;5;90;La Boca;Caballito
18;1;90;La Boca;Caballito
18;17;90;La Boca;Recoleta
18;9;90;La Boca;Recoleta
18;8;90;La Boca;Recoleta
18;10;90;La Boca;Recoleta
18;3;90;La Boca;Recoleta
18;15;90;La Boca;Recoleta
18;6;90;La Boca;Recoleta
18;4;90;La Boca;Recoleta
18;2;90;La Boca;Recoleta
18;11;90;La Boca;Recoleta
13;14;60;Centro;Belgrano
13;12;60;Centro;Belgrano
13;16;45;Centro;Barrio Norte
