CodigoTema;CodigoUbicacion;Inicio;Fin;FechaHora;Fecha;Hora
721;11;0;114;JU 3 / 11:30;03/04/2014;11:30:00
582;8;30;131;JU 3 / 12:00;03/04/2014;12:00:00
803;3;40;114;JU 3 / 12:10;03/04/2014;12:10:00
788;17;50;220;JU 3 / 12:20;03/04/2014;12:20:00
1122;2;75;160;JU 3 / 12:45;03/04/2014;12:45:00
1102;1;110;248;JU 3 / 13:20;03/04/2014;13:20:00
703;13;120;195;JU 3 / 13:30;03/04/2014;13:30:00
598;9;140;215;JU 3 / 13:50;03/04/2014;13:50:00
394;11;150;258;JU 3 / 14:00;03/04/2014;14:00:00
763;5;150;240;JU 3 / 14:00;03/04/2014;14:00:00
111;14;160;250;JU 3 / 14:10;03/04/2014;14:10:00
1210;3;165;263;JU 3 / 14:15;03/04/2014;14:15:00
1207;10;175;272;JU 3 / 14:25;03/04/2014;14:25:00
26;7;180;304;JU 3 / 14:30;03/04/2014;14:30:00
846;12;180;265;JU 3 / 14:30;03/04/2014;14:30:00
574;8;185;304;JU 3 / 14:35;03/04/2014;14:35:00
229;4;210;286;JU 3 / 15:00;03/04/2014;15:00:00
759;6;220;310;JU 3 / 15:10;03/04/2014;15:10:00
1098;13;240;345;JU 3 / 15:30;03/04/2014;15:30:00
442;16;270;351;JU 3 / 16:00;03/04/2014;16:00:00
641;5;270;380;JU 3 / 16:00;03/04/2014;16:00:00
1080;1;280;361;JU 3 / 16:10;03/04/2014;16:10:00
1192;14;280;370;JU 3 / 16:10;03/04/2014;16:10:00
811;9;285;320;JU 3 / 16:15;03/04/2014;16:15:00
900;9;285;315;JU 3 / 16:15;03/04/2014;16:15:00
510;17;300;321;JU 3 / 16:30;03/04/2014;16:30:00
668;17;300;314;JU 3 / 16:30;03/04/2014;16:30:00
770;17;300;335;JU 3 / 16:30;03/04/2014;16:30:00
931;12;300;397;JU 3 / 16:30;03/04/2014;16:30:00
1134;17;300;310;JU 3 / 16:30;03/04/2014;16:30:00
852;10;325;427;JU 3 / 16:55;03/04/2014;16:55:00
838;11;330;452;JU 3 / 17:00;03/04/2014;17:00:00
1299;2;340;445;JU 3 / 17:10;03/04/2014;17:10:00
868;8;345;420;JU 3 / 17:15;03/04/2014;17:15:00
629;4;350;437;JU 3 / 17:20;03/04/2014;17:20:00
617;7;355;451;JU 3 / 17:25;03/04/2014;17:25:00
90;6;370;394;JU 3 / 17:40;03/04/2014;17:40:00
664;6;370;420;JU 3 / 17:40;03/04/2014;17:40:00
528;16;380;466;JU 3 / 17:50;03/04/2014;17:50:00
295;15;390;390;JU 3 / 18:00;03/04/2014;18:00:00
633;1;390;489;JU 3 / 18:00;03/04/2014;18:00:00
1150;9;395;480;JU 3 / 18:05;03/04/2014;18:05:00
118;14;400;495;JU 3 / 18:10;03/04/2014;18:10:00
255;13;400;489;JU 3 / 18:10;03/04/2014;18:10:00
807;5;400;475;JU 3 / 18:10;03/04/2014;18:10:00
1181;12;430;519;JU 3 / 18:40;03/04/2014;18:40:00
134;17;440;526;JU 3 / 18:50;03/04/2014;18:50:00
221;3;475;587;JU 3 / 19:25;03/04/2014;19:25:00
752;2;480;568;JU 3 / 19:30;03/04/2014;19:30:00
1076;10;490;510;JU 3 / 19:40;03/04/2014;19:40:00
1322;10;490;536;JU 3 / 19:40;03/04/2014;19:40:00
274;7;500;581;JU 3 / 19:50;03/04/2014;19:50:00
299;16;500;597;JU 3 / 19:50;03/04/2014;19:50:00
480;4;500;562;JU 3 / 19:50;03/04/2014;19:50:00
78;5;510;590;JU 3 / 20:00;03/04/2014;20:00:00
968;11;510;596;JU 3 / 20:00;03/04/2014;20:00:00
784;15;520;610;JU 3 / 20:10;03/04/2014;20:10:00
1102;1;520;658;JU 3 / 20:10;03/04/2014;20:10:00
778;14;530;612;JU 3 / 20:20;03/04/2014;20:20:00
1291;6;530;607;JU 3 / 20:20;03/04/2014;20:20:00
343;8;535;577;JU 3 / 20:25;03/04/2014;20:25:00
347;8;535;586;JU 3 / 20:25;03/04/2014;20:25:00
