Codigo;Nombre;Info;Duracion
280;Cortos ;Cao Guimarães;0
676;Juana a los 12;Martín Shanly;75
534;Family Affairs;Gil Golan;52
1058;Shakedown;James Glickenhaus;93
414;Double Play: James Benning and Richard Linklater;Gabe Klinger;70
114;Arctic Monkeys Live at the Apollo;Richard Ayoade;76
1069;Si je suis perdu, c'est pas grave;Santiago Loza;91
449;El diálogo;Pablo Racioppi, Carolina Azzi;93
656;It for Others;Duncan Campbell;54
778;Liberen a García;María Boughen;82
735;La Petite Leçon de cinéma: Le Documentaire;Jean-Stéphane Bron;10
864;Mistaken for Strangers;Tom Berninger;75
192;Buenos Aires Rap;Segundo Bercetche, Daiane Ghogomu, Sebastián Muñoz;75
991;Raíz;Matías Rojas Valencia;87
1251;Tres D;Rosendo Ruiz;92
1240;Tower House;Karl-Heinz Klopf;62
518;Esas cuatro notas;Rafael Filippelli;90
525;Escuela de sordos;Ada Frontini;72
287;Cortos - Competencia 2;Varios directores;109
998;Red Obsession;David Roach, Warwick Ross;76
410;Donkey Punch;Oliver Blackburn;99
803;Lucky;Laura Checkoway;74
173;Big Eyes;Uri Zohar;75
1024;Rio 2;Carlos Saldanha;100
491;El último emperador 3D;Bernardo Bertolucci;163
868;Mister Magoo: Las mil y una noches;Jack Kinney;75
382;Dear Mr. Watterson;Joel Allen Schroeder;90
438;El corral y el viento;Miguel Hilari;55
484;El sillón y la gran duquesa;Carlos Schlieper;68
86;Algunas chicas;Santiago Palavecino;100
237;Ciencias naturales;Matías Lucchesi;71
323;Cortos - Muestra 4;Varios directores;113
972;Por las plumas;Neto Villalobos;85
935;Only Lovers Left Alive;Jim Jarmusch;123
1295;We Are the Best!;Lukas Moodysson;102
1110;Sucesos Intervenidos;Varios directores;0
1076;Solecito;Oscar Ruiz Navia;20
1199;The Songs of Rice;Uruphong Raksasad;75
204;Cae la noche en Bucarest;Corneliu Porumboiu;89
1166;The Joycean Society;Dora García;53
241;Cita en las estrellas;Carlos Schlieper;85
78;Al fin del mundo;Franca González;80
121;Arroz con leche;Carlos Schlieper;79
1054;Sequence;Carles Torrens;20
